행정동,면적(㎢),총생활인구수,남자15세부터19세생활인구수,남자20세부터24세생활인구수,남자25세부터29세생활인구수,남자30세부터34세생활인구수,남자35세부터39세생활인구수,남자40세부터44세생활인구수,남자45세부터49세생활인구수,남자50세부터54세생활인구수,남자55세부터59세생활인구수,남자60세부터64세생활인구수,남자65세부터69세생활인구수_x,남자70세이상생활인구수_x,여자15세부터19세생활인구수,여자20세부터24세생활인구수,여자25세부터29세생활인구수,여자30세부터34세생활인구수,여자35세부터39세생활인구수,여자40세부터44세생활인구수,여자45세부터49세생활인구수,여자50세부터54세생활인구수,여자55세부터59세생활인구수,여자60세부터64세생활인구수,여자65세부터69세생활인구수_x,여자70세이상생활인구수_x,총 노인 인구수,남자65세부터69세생활인구수_y,남자70세이상생활인구수_y,여자65세부터69세생활인구수_y,여자70세이상생활인구수_y,노인_의료복지시설수,노인_주거복지시설수,장애인_생산품판매시설수,장애인_의료재활시설수,장애인_지역사회재활시설수,장애인_직업재활시설수,노인_여가복지시설수,노인_일자리지원기관수,노인교실수,경로당수,총시설수
상계5동,1.01,17100.1749,495.3393,465.1383,537.4526,477.1234,550.821,629.1261,753.089,728.6694,888.0264,649.8986,488.0071,1092.5732,511.7363,585.8359,586.1995,538.882,632.9876,648.3371,825.4459,814.446,952.0757,820.0451,627.2356,1801.6838,4009.4997,488.0071,1092.5732,627.2356,1801.6838,3.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,10.0,19.0
상계8동,0.67,20316.1003,554.9947,409.4767,674.3953,916.988,1270.7188,890.2176,869.6513,649.0247,611.9043,472.6661,341.5733,1067.3633,626.4345,695.7968,733.6835,1274.2706,1487.2154,1016.8183,1019.5044,971.9485,942.1225,703.0227,516.3245,1599.9845,3525.2456,341.5733,1067.3633,516.3245,1599.9845,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,3.0,8.0
상계9동,0.81,11217.74,412.0275,283.108,313.3286,369.5662,487.853,486.5938,490.5581,448.4839,440.5951,321.314,281.3779,591.7995,379.5498,345.9173,419.7776,462.0495,589.0199,516.4993,596.9105,576.4865,605.4026,482.1887,370.161,947.1717,2190.5101,281.3779,591.7995,370.161,947.1717,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0
상계10동,0.8,11029.666,257.6689,286.5697,329.2353,377.6649,558.3549,423.1083,438.5912,456.3782,377.4358,357.9876,235.7753,596.021,394.6937,358.2827,452.3711,588.5023,617.6703,473.8781,528.9991,588.1399,555.0077,449.9261,343.134,984.2699,2159.2002,235.7753,596.021,343.134,984.2699,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,9.0
상계3.4동,5.05,18681.5647,559.8181,517.1941,569.894,472.2283,562.0494,675.6727,856.9669,929.4686,940.431,825.8924,581.7608,1234.2503,511.1768,612.9326,591.056,477.1099,651.5234,807.9255,903.0018,893.8362,1005.5882,914.1552,718.4869,1869.1456,4403.6436,581.7608,1234.2503,718.4869,1869.1456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,17.0
상계6.7동,1.11,36987.7399,1079.0057,1053.7314,1276.9191,1406.385,1668.0085,1570.4389,1581.9774,1540.6214,1516.6814,1123.3692,724.7227,1633.3744,1052.0539,1407.9131,1563.3914,1598.0748,1860.7741,1665.3536,1954.4804,1885.1936,1934.3419,1545.4733,1152.6864,3192.7683,6703.5518,724.7227,1633.3744,1152.6864,3192.7683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0
중계2.3동,0.9,28414.6967,940.3527,670.89,801.8036,963.231,1079.9204,1150.9352,1423.7323,1222.7056,1145.8131,919.1412,652.8606,1424.3338,951.5913,973.163,918.6275,993.6891,1314.3067,1358.1588,1562.0143,1532.0496,1507.5386,1119.5475,935.1874,2853.1034,5865.4852,652.8606,1424.3338,935.1874,2853.1034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0
공릉1동,1.41,36317.4733,1099.6421,2002.7681,1769.4906,1271.1221,1419.9314,1224.5005,1670.0468,1276.0471,1333.9461,1132.3433,829.8916,1801.6881,1057.1626,2501.0039,1694.2462,1435.3982,1434.4813,1187.7638,1560.3526,1311.4258,1604.919,1435.2022,1128.0596,3136.0403,6895.6796,829.8916,1801.6881,1128.0596,3136.0403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,19.0
녹번동,1.79,30030.245,719.5185,839.4128,1000.9406,1221.3138,1368.6949,1223.7197,1234.9726,1202.4307,1205.8065,953.3843,712.0417,1393.0989,734.8802,1112.6589,1324.6181,1444.9705,1645.1107,1377.2978,1322.0794,1326.3854,1597.5033,1299.7475,1021.3011,2748.3571,5874.7988,712.0417,1393.0989,1021.3011,2748.3571,4.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,11.0,21.0
불광1동,3.13,24120.8005,674.4154,563.7699,850.4639,907.3845,1051.3436,905.6521,949.5751,958.2908,997.2461,835.5863,589.6679,1320.0954,458.8863,827.6244,1027.6728,1124.7719,1230.2899,963.2666,1263.1596,1084.4843,1243.9246,1050.8186,869.8527,2372.5578,5152.1738,589.6679,1320.0954,869.8527,2372.5578,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,19.0,24.0
