행정동,면적(㎢),총생활인구수,청소년인구수,청년인구수,중장년인구수,노인인구수,장애인구수,노인_의료복지시설수,노인_주거복지시설수,노인_여가복지시설수,노인_일자리지원기관수,노인교실수,경로당수,장애인_생산품판매시설수,장애인_의료재활시설수,장애인_지역사회재활시설수,장애인_직업재활시설수,총시설수,인구밀도,노인비율,장애인비율,노인시설수,장애인시설수,시설당_노인수,시설당_장애인수,노인복지점수,장애인복지점수,최종복지점수
이촌1동,2.86,21591.3701,1437.2184,3115.4737000000005,13021.752,4016.926,498.0,0.0,0.0,1.0,0.0,3.0,9.0,0.0,0.0,0.0,0.0,13.0,7549.430104895106,18.604312655453022,2.30647706789112,13.0,0.0,308.9943076923077,,37.19557533410222,12.335264961932817,35.13439330208751
이촌2동,1.22,6602.074,222.4789,1290.6047,3717.4937,1371.4967,312.0,0.0,0.0,1.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,8.0,5411.53606557377,20.773725044584474,4.72578768429436,8.0,0.0,171.4370875,,22.609735696633045,13.627518530519355,22.733170136294273
이태원1동,0.57,9341.0256,357.3035,3684.8821,4237.5787,1061.2613,205.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,6.0,16387.76421052632,11.361293132522833,2.1946198284693703,6.0,0.0,176.87688333333332,,15.333275307738461,12.94622627503039,16.240178405631195
이태원2동,0.86,10351.184,354.9428,2698.3342,5920.0636,1377.8434,311.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,12036.260465116278,13.310973894387349,3.004487216148414,4.0,0.0,344.46085,,17.14865327495973,13.763337415685445,18.009618239709468
서빙고동,2.8,10969.2451,791.3254,1926.9125,6418.0333,1832.9739,341.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,6.0,3917.587535714286,16.710118912376203,3.1086915908187702,5.0,1.0,366.59478,341.0,19.412598684450263,9.497035301067376,18.99505805456508
보광동,0.71,6442.9478,347.6408,1206.7288999999998,3647.41,1241.1681,342.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,9.0,9074.574366197183,19.263978826586182,5.308129300690593,9.0,0.0,137.90756666666667,,22.073811522815006,17.65431519452108,23.196969028131633
청파동,0.91,21037.2792,1288.3566,7846.7749,9276.385,2625.7627,763.0,0.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,7.0,23117.88923076923,12.48147479071343,3.6268948695608887,7.0,0.0,375.10895714285715,,30.205228150044658,28.964303750689727,32.89021564124184
원효로1동,0.59,16709.7949,591.5663,4952.418900000001,9516.6013,1649.2084,433.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,7.0,28321.686271186445,9.86971060907516,2.591294522711347,7.0,0.0,235.6012,,24.051216311179846,24.68338170937946,26.542809002975968
한강로동,2.9,34337.8632,1767.0741,10777.562,18091.9851,3701.242,487.0,0.0,0.0,2.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,14.0,11840.642482758622,10.778894360555318,1.4182594798152728,14.0,0.0,264.3744285714286,,27.9485340496927,12.776804376018633,27.18506744014847
한남동,3.01,19014.4181,633.8113000000001,4780.2659,11313.3465,2286.9944,350.0,1.0,0.0,1.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,9.0,6317.082425249169,12.02768545412389,1.840708446397316,9.0,0.0,254.11048888888888,,17.683421278446797,8.230237696493031,17.19676874608093
왕십리2동,0.41,15773.001,732.9427000000001,4200.030900000001,8339.371500000001,2500.6559,616.0,0.0,0.0,1.0,0.0,1.0,14.0,0.0,0.0,0.0,0.0,16.0,38470.73414634146,15.85402739783,3.9054077280537802,16.0,0.0,156.29099375,,42.73504475415859,36.71045820045946,45.589670862862576
마장동,1.05,18155.8349,1089.5684,5154.0136,8839.4781,3072.7748,1002.0,0.0,0.0,1.0,0.0,0.0,15.0,0.0,0.0,4.0,1.0,21.0,17291.271333333334,16.924447798321847,5.518886933698653,16.0,5.0,192.048425,200.4,35.08452709797764,33.39447829180343,38.16222291890128
사근동,1.1,23644.6593,3123.1158,12879.8249,5849.5494,1792.1692,354.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,9.0,21495.144818181816,7.5795940946376845,1.4971668464683694,9.0,0.0,199.1299111111111,,18.014262465422203,16.80077010642943,19.465123581696528
행당1동,0.59,26918.6397,2061.7824,8382.459900000002,13637.4873,2836.9101,512.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,7.0,45624.81305084746,10.53883157401895,1.9020277610833358,7.0,0.0,405.2728714285714,,42.29371958091232,34.933471011255335,44.79482373159286
행당2동,0.42,17990.5399,1015.992,3505.0043,10344.1279,3125.4157,891.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,11.0,42834.61880952381,17.37255089270556,4.9526028954806405,11.0,0.0,284.1287,,51.01044904217048,46.01916716306866,54.94587432507734
응봉동,0.57,11077.2515,790.1575,1739.798,6679.5798,1867.7162,523.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,9.0,19433.774561403512,16.860826893747063,4.721387791908489,9.0,0.0,207.52402222222224,,28.950476129143624,25.469618886362525,30.990233866007145
금호1가동,0.46,12107.0354,522.281,1992.321,7422.553800000001,2169.8796,622.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,8.0,26319.642173913046,17.922468451690495,5.137508724885697,8.0,0.0,271.23495,,36.17709373975743,32.161590975078084,38.82864566093625
금호4가동,0.84,9406.6762,318.13890000000004,1590.3656999999998,5721.7569,1776.4147,525.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,11198.424047619048,18.88461622607994,5.581142465603313,10.0,0.0,177.64147,,26.095952183894312,22.41060305206081,27.798004580889796
성수1가1동,1.97,12865.2083,419.0797,3327.7726,7292.9192,1825.4368,539.0,0.0,0.0,0.0,0.0,2.0,13.0,0.0,0.0,0.0,0.0,15.0,6530.562588832488,14.18894088174227,4.189594038675612,15.0,0.0,121.69578666666666,,17.729658938926594,16.616752747284643,19.174802128200753
성수1가2동,0.89,15931.5683,625.5129,4266.8021,9000.5041,2038.7492,442.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,9.0,17900.638539325842,12.796914664076104,2.774365910981909,9.0,0.0,226.5276888888889,,23.966670257530318,18.86142386130987,25.123983127287882
