행정동,노인_의료복지시설수,노인_주거복지시설수,장애인_생산품판매시설수,장애인_의료재활시설수,장애인_지역사회재활시설수,장애인_직업재활시설수,노인_여가복지시설수,노인_일자리지원기관수,노인교실수,경로당수,총시설수
시흥3동,0,0,0,0,1,0,0,0,0,4,5
시흥4동,1,0,0,0,2,0,1,0,2,6,12
시흥5동,0,1,0,0,0,0,1,0,1,6,9
영등포본동,0,0,0,0,0,0,0,0,1,4,5
영등포동,0,0,0,0,0,0,1,1,4,12,18
여의동,0,0,0,0,0,0,1,0,1,7,9
당산1동,0,0,0,0,0,0,0,0,1,13,14
당산2동,0,0,0,0,0,0,0,0,0,17,17
도림동,1,0,0,0,1,0,0,0,1,7,10
문래동,0,0,0,0,0,0,2,0,1,27,30
양평1동,0,0,0,0,0,0,0,0,1,13,14
양평2동,0,0,0,0,0,0,0,0,2,12,14
신길1동,0,0,0,0,0,0,0,0,1,8,9
신길3동,0,0,0,0,0,0,1,0,3,7,11
신길4동,0,0,0,0,0,0,1,0,2,4,7
신길5동,0,0,0,0,0,0,0,0,1,7,8
신길6동,0,0,0,0,0,0,0,0,2,9,11
신길7동,0,0,0,0,0,0,0,0,1,6,7
대림1동,0,0,0,0,0,0,1,0,1,8,10
대림2동,11,1,0,0,0,0,0,0,1,6,19
대림3동,2,0,0,0,0,1,0,1,0,12,16
노량진1동,0,0,0,0,0,0,1,0,2,20,23
노량진2동,0,0,0,0,0,0,0,0,0,1,1
상도1동,2,0,0,0,1,0,3,0,3,15,24
상도2동,1,0,0,0,1,1,0,0,1,12,16
상도3동,1,0,0,0,0,0,0,0,0,6,7
상도4동,1,0,0,0,0,0,0,0,0,8,9
흑석동,0,0,0,0,0,0,0,0,3,15,18
사당1동,0,0,0,0,0,0,1,0,0,3,4
사당2동,0,0,0,0,0,0,0,0,0,14,14
사당3동,0,0,0,0,0,0,0,0,0,12,12
사당4동,0,0,0,0,0,0,0,0,0,6,6
사당5동,0,0,0,0,0,0,1,0,1,6,8
대방동,0,0,0,0,1,1,1,0,1,16,20
신대방1동,0,0,0,0,0,0,0,0,1,10,11
신대방2동,0,0,0,0,0,0,0,0,1,6,7
보라매동,0,0,0,0,0,0,1,0,0,3,4
청룡동,0,0,0,0,0,0,2,0,4,8,14
은천동,0,0,0,0,0,0,0,0,0,8,8
성현동,0,0,0,0,0,0,0,0,0,8,8
중앙동,0,0,0,0,0,0,0,0,1,3,4
